ts	phase	decision	why	evidence	result
2026-09-03T02:13:00Z	frame	Done means Bun 1.4.0 runs scripts tests CLI CI and Cloud install, check matrix green, Node tests job name kept, measured CLI and unit-test time better than the Node 22.18.0 baseline, PR open	Latest oven-sh tag is bun-v1.4.0; npm bun 1.4.1-1.4.3 are malware so we install from bun.com not those tarballs	https://github.com/oven-sh/bun/releases/tag/bun-v1.4.0	open
2026-09-03T02:13:00Z	frame	Skip arena and architect runners	The user already pinned the shape: Bun 1.4, keep tsc as type source of truth, keep the Node tests display name, bun test only if the existing suite still covers	poteto-mode laziness-protocol	skipped
2026-09-03T02:13:00Z	pstack	Wrote pstack-models.mdc with inherit-parent for every role	This session has no Task tool and cannot confirm other model slugs; inherit-parent is always valid	/home/ubuntu/.cursor/rules/pstack-models.mdc	written
2026-09-03T03:02:09Z	design	Keep TypeScript 7 as emit and typecheck; bun runs tests as .ts	Types stay the source of truth; dropping harness JS emit is the speed win	tsconfig.harness.json scripts/run-unit-tests.ts	accepted
2026-09-03T03:02:09Z	design	Forward NODE_OPTIONS --import on worker argv under Bun only	Bun ignores NODE_OPTIONS; Node hosts still inherit it and must not double-apply	src/runtime.ts bunInheritedExecArgv	accepted
2026-09-03T03:02:09Z	design	Keep CI display names Worker copies in sync and Node tests	Branch protection matches those strings; renaming the jobs blocks merges	.github/workflows/ci.yml	accepted
2026-09-03T03:02:09Z	design	Install Bun 1.4.0 from bun.com, never npm	npm tarballs bun@1.4.1 through 1.4.3 are malware	.cursor/install.sh .bun-version	accepted
2026-09-03T03:02:09Z	design	MCP registration uses bunx not npx	CLI shebang is bun; npx would start the bin without Bun on PATH	src/cli-help.ts MCP_REGISTER_COMMAND	accepted
2026-09-03T03:02:09Z	efficiency	Thin CLI entry loads cli-main only after --version/--help	Avoid pulling daemon/doctor/chromium for the cheap path	bin/betterwright.ts	accepted
2026-09-03T04:20:00Z	fix	Map RFC 6761 localhost names to 127.0.0.1 in the SOCKS guard before OS DNS	glibc getaddrinfo returns ENOTFOUND for signup.acme.localhost so Chromium site-isolation hosts fail SOCKS; Chromium itself maps *.localhost to loopback; still policy-check the literal	src/guard-proxy.ts tests/node/guard-proxy.test.ts /opt/cursor/artifacts/pending-id-dump.json	open
2026-09-03T04:45:00Z	fix	RFC 6761 mapping returns 127.0.0.1 then ::1	IPv4-only mapping broke listen(localhost) servers that bind ::1; chrome-error in the cross-origin frame test	tests/node/browser.test.ts bot challenges in a cross-origin frame	open
